Community,Median Household Income,Median Age,Population 2014,Dwellings 2014,City Quadrant
Temple,59074,34,11303,3686,1
Thorncliffe,50009,40,8838,3851,2
Tuscany,92453,34,19465,6504,2
Upper Mount Royal,127135,43,2609,1069,3
University Heights,43079,31,3016,1373,2
Valley Ridge,104947,41,5518,1904,2
Varsity,58603,42,12553,5738,2
Vista Heights,51370,34,2336,848,1
Walden,64194,29,2181,951,4
West Hillhurst,52092,37,6299,2952,2
West Springs,88328,35,9086,3000,3
Westgate,54309,41,6438,2670,3
Whitehorn,55715,35,12326,3920,1
Wildwood,74415,42,2700,1058,3
Willow Park,63588,45,5440,2284,4
Windsor Park,39425,37,4417,2453,3
Winston Heights/Mountview,41065,42,3845,1899,1
Woodbine,83844,42,9162,3371,3
Woodlands,71234,40,6237,2409,3
