DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
04/01/2018,DOV,Dover,CATS,455
04/01/2018,DOV,Dover,DOGS,977
04/01/2018,DNC,Downtown Commercial Core,CATS,116
04/01/2018,DNC,Downtown Commercial Core,DOGS,82
04/01/2018,DNE,Downtown East Village,CATS,43
04/01/2018,DNE,Downtown East Village,DOGS,71
04/01/2018,DNW,Downtown West End,CATS,36
04/01/2018,DNW,Downtown West End,DOGS,45
04/01/2018,EAG,Eagle Ridge,CATS,9
04/01/2018,EAG,Eagle Ridge,DOGS,37
04/01/2018,EFV,East Fairview Industrial,CATS,0
04/01/2018,EFV,East Fairview Industrial,DOGS,0
04/01/2018,ESH,East Shepard Industrial,CATS,2
04/01/2018,ESH,East Shepard Industrial,DOGS,15
04/01/2018,EFI,Eastfield,CATS,0
04/01/2018,EFI,Eastfield,DOGS,2
04/01/2018,EAU,Eau Claire,CATS,18
04/01/2018,EAU,Eau Claire,DOGS,37
04/01/2018,EDG,Edgemont,CATS,321
04/01/2018,EDG,Edgemont,DOGS,1007
04/01/2018,EPK,Elbow Park,CATS,87
04/01/2018,EPK,Elbow Park,DOGS,379
04/01/2018,EYA,Elboya,CATS,55
04/01/2018,EYA,Elboya,DOGS,195
04/01/2018,ERI,Erin Woods,CATS,270
04/01/2018,ERI,Erin Woods,DOGS,554
04/01/2018,ERL,Erlton,CATS,42
04/01/2018,ERL,Erlton,DOGS,88
04/01/2018,EVN,Evanston,CATS,262
04/01/2018,EVN,Evanston,DOGS,1045
04/01/2018,EVE,Evergreen,CATS,502
04/01/2018,EVE,Evergreen,DOGS,1381
04/01/2018,FVI,Fairview Industrial,CATS,1
04/01/2018,FVI,Fairview Industrial,DOGS,3
04/01/2018,FAI,Fairview,CATS,172
04/01/2018,FAI,Fairview,DOGS,403
04/01/2018,FAL,Falconridge,CATS,292
04/01/2018,FAL,Falconridge,DOGS,622
04/01/2018,FHI,Foothills,CATS,1
04/01/2018,FHI,Foothills,DOGS,71
04/01/2018,FHT,Forest Heights,CATS,155
04/01/2018,FHT,Forest Heights,DOGS,371
04/01/2018,FLI,Forest Lawn Industrial,CATS,7
04/01/2018,FLI,Forest Lawn Industrial,DOGS,18
04/01/2018,FLN,Forest Lawn,CATS,264
04/01/2018,FLN,Forest Lawn,DOGS,524
04/01/2018,GAW,Garrison Woods,CATS,52
04/01/2018,GAW,Garrison Woods,DOGS,180
04/01/2018,GLA,Glamorgan,CATS,301
04/01/2018,GLA,Glamorgan,DOGS,511
04/01/2018,GBK,Glenbrook,CATS,249
04/01/2018,GBK,Glenbrook,DOGS,484
04/01/2018,GDL,Glendale,DOGS,293
04/01/2018,GBP,Glendeer Business Park,CATS,0
04/01/2018,GBP,Glendeer Business Park,DOGS,0
04/01/2018,GTI,Golden Triangle,CATS,0
04/01/2018,GTI,Golden Triangle,DOGS,0
04/01/2018,GPI,Great Plains,CATS,0
04/01/2018,GPI,Great Plains,DOGS,0
04/01/2018,GRI,Greenview Industrial Park,CATS,1
04/01/2018,GRI,Greenview Industrial Park,DOGS,5
04/01/2018,GRV,Greenview,CATS,108
04/01/2018,GRV,Greenview,DOGS,98
04/01/2018,GRE,Greenwood/Greenbriar,CATS,87
04/01/2018,GRE,Greenwood/Greenbriar,DOGS,135
04/01/2018,HAM,Hamptons,CATS,85
04/01/2018,HAM,Hamptons,DOGS,335
04/01/2018,HAR,Harvest Hills,CATS,215
04/01/2018,HAR,Harvest Hills,DOGS,672
04/01/2018,HAW,Hawkwood,CATS,283
04/01/2018,HAW,Hawkwood,DOGS,799
04/01/2018,HAY,Haysboro,CATS,301
04/01/2018,HAY,Haysboro,DOGS,629
04/01/2018,HID,Hidden Valley,CATS,369
04/01/2018,HID,Hidden Valley,DOGS,1082
04/01/2018,HIF,Highfield,CATS,0
04/01/2018,HIF,Highfield,DOGS,0
