DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018,DAL,DALHOUSIE,CATS,264
04/01/2018,DAL,DALHOUSIE,DOGS,582
04/01/2018,DRG,DEER RIDGE,CATS,204
04/01/2018,DRG,DEER RIDGE,DOGS,506
04/01/2018,DRN,DEER RUN,CATS,268
04/01/2018,DRN,DEER RUN,DOGS,625
04/01/2018,DBC,DEERFOOT BUSINESS CENTRE,CATS,0
04/01/2018,DBC,DEERFOOT BUSINESS CENTRE,DOGS,20
04/01/2018,DIA,DIAMOND COVE,CATS,18
04/01/2018,DIA,DIAMOND COVE,DOGS,70
04/01/2018,DIS,DISCOVERY RIDGE,CATS,119
04/01/2018,DIS,DISCOVERY RIDGE,DOGS,385
04/01/2018,DDG,DOUGLASDALE/GLEN,CATS,460
04/01/2018,DDG,DOUGLASDALE/GLEN,DOGS,1346
04/01/2018,DOV,DOVER,CATS,455
04/01/2018,DOV,DOVER,DOGS,977
04/01/2018,DNC,DOWNTOWN COMMERCIAL CORE,CATS,116
04/01/2018,DNC,DOWNTOWN COMMERCIAL CORE,DOGS,82
04/01/2018,DNE,DOWNTOWN EAST VILLAGE,CATS,43
04/01/2018,DNE,DOWNTOWN EAST VILLAGE,DOGS,71
04/01/2018,DNW,DOWNTOWN WEST END,CATS,36
04/01/2018,DNW,DOWNTOWN WEST END,DOGS,45
04/01/2018,EAG,EAGLE RIDGE,CATS,9
04/01/2018,EAG,EAGLE RIDGE,DOGS,37
04/01/2018,EFV,EAST FAIRVIEW INDUSTRIAL,CATS,0
04/01/2018,EFV,EAST FAIRVIEW INDUSTRIAL,DOGS,0
04/01/2018,ESH,EAST SHEPARD INDUSTRIAL,CATS,2
04/01/2018,ESH,EAST SHEPARD INDUSTRIAL,DOGS,15
04/01/2018,EFI,EASTFIELD,CATS,0
04/01/2018,EFI,EASTFIELD,DOGS,2
04/01/2018,EAU,EAU CLAIRE,CATS,18
04/01/2018,EAU,EAU CLAIRE,DOGS,37
04/01/2018,EDG,EDGEMONT,CATS,321
04/01/2018,EDG,EDGEMONT,DOGS,1007
04/01/2018,EPK,ELBOW PARK,CATS,87
04/01/2018,EPK,ELBOW PARK,DOGS,379
04/01/2018,EYA,ELBOYA,CATS,55
04/01/2018,EYA,ELBOYA,DOGS,195
04/01/2018,ERI,ERIN WOODS,CATS,270
04/01/2018,ERI,ERIN WOODS,DOGS,554
04/01/2018,ERL,ERLTON,CATS,42
04/01/2018,ERL,ERLTON,DOGS,88
04/01/2018,EVN,EVANSTON,CATS,262
04/01/2018,EVN,EVANSTON,DOGS,1045
04/01/2018,EVE,EVERGREEN,CATS,502
04/01/2018,EVE,EVERGREEN,DOGS,1381
04/01/2018,FVI,FAIRVIEW INDUSTRIAL,CATS,1
04/01/2018,FVI,FAIRVIEW INDUSTRIAL,DOGS,3
04/01/2018,FAI,FAIRVIEW,CATS,172
04/01/2018,FAI,FAIRVIEW,DOGS,403
04/01/2018,FAL,FALCONRIDGE,CATS,292
04/01/2018,FAL,FALCONRIDGE,DOGS,622
04/01/2018,FHI,FOOTHILLS,CATS,1
04/01/2018,FHI,FOOTHILLS,DOGS,71
04/01/2018,FHT,FOREST HEIGHTS,CATS,155
04/01/2018,FHT,FOREST HEIGHTS,DOGS,371
04/01/2018,FLI,FOREST LAWN INDUSTRIAL,CATS,7
04/01/2018,FLI,FOREST LAWN INDUSTRIAL,DOGS,18
04/01/2018,FLN,FOREST LAWN,CATS,264
04/01/2018,FLN,FOREST LAWN,DOGS,524
04/01/2018,GAW,GARRISON WOODS,CATS,52
04/01/2018,GAW,GARRISON WOODS,DOGS,180
04/01/2018,GLA,GLAMORGAN,CATS,301
04/01/2018,GLA,GLAMORGAN,DOGS,511
04/01/2018,GBK,GLENBROOK,CATS,249
04/01/2018,GBK,GLENBROOK,DOGS,484
04/01/2018,GDL,GLENDALE,DOGS,293
04/01/2018,GBP,GLENDEER BUSINESS PARK,CATS,0
04/01/2018,GBP,GLENDEER BUSINESS PARK,DOGS,0
